,Data,User,Pesan,Saham,Jam,Tanggal
21,22,Lee Khong Huan,"Membalas : bbkp mau ri kb mau bikin bosowa saham nya terdelusi kb masuk di deket harga bv bbkp ya
Iya, harga makin ditekan biar org ga tebus dan ditebus kookmin (maksudnya harga ga beda ama induk)
Kalau mau angkat butuh biaya juga sih ya, tahu mahalan mana beli nego tinggi ke bosowa atau maintain dongkrak harga",BBKP,4:43:24 PM,Tuesday June 1 2021
22,23,nathan,"Membalas : Mbok sudah win-win, bosowa keluar kasih harga tinggiiiii...  
ya masih bisa kasasi pak, kb juga gk mungkin beli saham bosowa di 1000 kalau bisa beli di bv 252 kenapa harus beli di 1000 ya  
bbkp mau ri kb mau bikin bosowa saham nya terdelusi kb masuk di deket harga bv bbkp ya ",BBKP,4:39:38 PM,Tuesday June 1 2021
23,24,Eru Yagami,"Membalas : Sering saya bilang Indomie itu makanan paling enak sedunia. Jadi kalau mau tau lagi sakit apa nggak cek nya pake makan Indomie.
ICBP masih diskon btw",ICBP,2:58:30 PM,Tuesday June 1 2021
24,25,Jimmy,"Membalas : kalau antm sih iya.... salah sendiri waktu itu antm gak mau turun
ANTM kemaren merah sendiri cuman buat nutup gap aja sih. Jadi ya, sisanya sudah ketebak. Tapi baguslah sepi gini biar gak grasa grusu kaya awal tahun. Pusing kalo copet kebanyakan. Naiknya kaya TKIM/INKP/TPIA aja tahun-tahun lalu. Tau-tau noban aja  ",ANTM,2:46:33 PM,Tuesday June 1 2021
25,26,Eru Yagami,"SCMA
SCMA sudah berhasil breakout dari channel downtrendnya dan sedang transisi dari trend bearish ke trend bullishnya. Beberapa hari ini SCMA naik dengan volume yang tinggi dan candle marobozu. Untuk SCMA lebih baik untuk menunggu koreksi terlebih dahulu. Untuk support pertamanya ada di 1580 dan support keduanya ada di 1425 dan untuk target terdekatnya ada di 1800
Ini adalah foto",SCMA,2:44:33 PM,Tuesday June 1 2021
26,27,Ardi,"Membalas : kalau antm sih iya.... salah sendiri waktu itu antm gak mau turun
turunin lg om < 1000  ",ANTM,2:34:05 PM,Tuesday June 1 2021
27,28,hmin918,kalau antm sih iya.... salah sendiri waktu itu antm gak mau turun,ANTM,2:08:12 PM,Tuesday June 1 2021
28,29,Andi FX,"Membalas : Kejer setoran kali ini skrg, yg keliatan songong itu bi rate ude turun sampe 3.5% tp bank bank ga ada yg mau ikutin, baru pandem
Bunga depo bank2 besar malah udah turun duluan bawah 3% dari 2 bulan lalu
Mau bunga besar bbkp tuh...tapi.. ",BBKP,1:45:38 PM,Tuesday June 1 2021
29,30,nathan,"Membalas : Dividen MPMX 13.8%.. asik ya ..kalau bisa beli trus jual..nggak kena ARB.
Arb tiga kali",MPMX,11:00:39 AM,Tuesday June 1 2021
30,31,Mangatas Marpaung,Dividen MPMX  13.8%.. asik ya ..kalau bisa beli trus jual..nggak kena ARB.,MPMX,8:39:42 AM,Tuesday June 1 2021
31,32,hery,"Membalas : BUDI masih masuk ya? chiken pokpok
haircutnya gak menarik",BUDI,4:16:12 PM,Sunday May 30 2021
32,33,Faliq H,"Membalas : Wuih BKSL masuk lagi
All in margarin pakde?",BKSL,4:14:27 PM,Sunday May 30 2021
33,34,Chak Roy,"Membalas : ada anak baru. WMUU
BUDI masih masuk ya?
chiken pokpok","WMUU,BUDI",4:14:13 PM,Sunday May 30 2021
34,35,Chak Roy,"Membalas : Wuih BKSL masuk lagi
Panen pak hm  ",BKSL,4:12:52 PM,Sunday May 30 2021
35,36,             ,Wuih BKSL masuk lagi,BKSL,4:12:39 PM,Sunday May 30 2021
36,37,Aliong,"Bismillah

Tolong angkat ahmad dani jd komisaris smbr   
Ini adalah foto",SMBR,3:45:33 PM,Sunday May 30 2021
