,Data,User,Pesan,Saham,Jam,Tanggal
177,178,Ronny,"Membalas : soalnya SAME ini bandel sama IHSG kak, IHSG kemanapun SAME tetap nyantai nanjak Saya malah panik kalau SAME nanjaknya ga nya
Terbukti sales same yg satu ini waktu itu ternyata bukan nyales tapi panggilan merdu utk cuan bareng   ","SAME,SATU",11:53:15 AM,Tuesday April 13 2021
178,179,Waskita Karya,Wskt ditahan di 985,WSKT,11:52:35 AM,Tuesday April 13 2021
179,180,Bved VX,Astaga. Knp yg pindah cuma indo. Lol,INDO,11:50:04 AM,Tuesday April 13 2021
180,181,Bow,"Membalas : soalnya SAME ini bandel sama IHSG kak, IHSG kemanapun SAME tetap nyantai nanjak Saya malah panik kalau SAME nanjaknya ga nya
*Toss.. Dah biarin aja bandel asal ga terjerumus ke lembah kejahatan..   ",SAME,11:47:48 AM,Tuesday April 13 2021
181,182,Chak Roy,"Membalas : soalnya SAME ini bandel sama IHSG kak, IHSG kemanapun SAME tetap nyantai nanjak Saya malah panik kalau SAME nanjaknya ga nya
Assyek",SAME,11:47:35 AM,Tuesday April 13 2021
182,183,Pemuda Motor,Same enaknya TP dulu ato hold?,SAME,11:47:15 AM,Tuesday April 13 2021
183,184,Benhan,"Membalas : Photo
Bakal menarik ini RI keduanya. Apalagi sudah ada Korean yg masuk di EMTK.
Kalau SAME incar dana 1.3T rasio hampir pasti 2:1","EMTK,SAME",11:42:31 AM,Tuesday April 13 2021
184,185,Rui :rocket: :speedboat::dancer: ,"di ipot sudah keluar info RI keduanya SAME, tinggal nunggu ratio sama harga tebus saja 

Meski ratio menurut saya bakalan 2 : 1 kurang lebinya
Ini adalah foto",SAME,11:38:03 AM,Tuesday April 13 2021
185,186,Jim,Harusnya ada retrace bikin base dulu same buat naik lagi..pas retrace momen pas utk nambah,SAME,11:37:23 AM,Tuesday April 13 2021
186,187,Benhan,"Membalas : soalnya SAME ini bandel sama IHSG kak, IHSG kemanapun SAME tetap nyantai nanjak Saya malah panik kalau SAME nanjaknya ga nya
Malah godaan ya buat yg posisinya mau long hehe",SAME,11:34:05 AM,Tuesday April 13 2021
187,188,Ferry Setiawan,"Membalas : BBCA di 30,000. akan jebolkah?
Saya tunggu di 29 dan 27 hu",BBCA,11:33:28 AM,Tuesday April 13 2021
188,189,muriz,"Membalas : soalnya SAME ini bandel sama IHSG kak, IHSG kemanapun SAME tetap nyantai nanjak Saya malah panik kalau SAME nanjaknya ga nya
Trmksh ka ..sya ngikut gerbongnya",SAME,11:33:03 AM,Tuesday April 13 2021
189,190,Novine 90210,"Membalas : soalnya SAME ini bandel sama IHSG kak, IHSG kemanapun SAME tetap nyantai nanjak Saya malah panik kalau SAME nanjaknya ga nya
   ",SAME,11:32:44 AM,Tuesday April 13 2021
190,191,Dream Big,RALS MAPI menarik,"MAPI,RALS",11:30:40 AM,Tuesday April 13 2021
191,192,hery,"Membalas : soalnya SAME ini bandel sama IHSG kak, IHSG kemanapun SAME tetap nyantai nanjak Saya malah panik kalau SAME nanjaknya ga nya
ini hampir tiap hari yiha yiha  ",SAME,11:28:55 AM,Tuesday April 13 2021
192,193,Soebianto,"Membalas : soalnya SAME ini bandel sama IHSG kak, IHSG kemanapun SAME tetap nyantai nanjak Saya malah panik kalau SAME nanjaknya ga nya
super",SAME,11:28:38 AM,Tuesday April 13 2021
193,194,hery,"BBCA di 30,000. akan jebolkah?",BBCA,11:28:15 AM,Tuesday April 13 2021
194,195,Rui :rocket: :speedboat::dancer: ,"Membalas : saya percayanya ci @RuiAuxilia sakti, focus..gak nebak2 index
soalnya SAME ini bandel sama IHSG kak, IHSG kemanapun SAME tetap nyantai nanjak  

Saya malah panik kalau SAME nanjaknya ga nyantai  ",SAME,11:28:06 AM,Tuesday April 13 2021
195,196,Dream Big,BNBA mantul,BNBA,11:28:03 AM,Tuesday April 13 2021
196,197,Soebianto,"Membalas :   hoki itu namanya kak ....     
saya percayanya ci @RuiAuxilia sakti, focus..gak nebak2 index
",HOKI,11:25:30 AM,Tuesday April 13 2021
197,198,Rui :rocket: :speedboat::dancer: ,"Membalas : ci @RuiAuxilia sakti    
  hoki itu namanya kak ....     ",HOKI,11:24:42 AM,Tuesday April 13 2021
198,199,Dave Sa'id,"Target penurunan gold di 261.8 atau di 423
Ini adalah foto",GOLD,11:23:49 AM,Tuesday April 13 2021
199,200,Joe,"Membalas : BD nya lagi main binomo wkwkw
Lebi cepat hasilnya ketahuan, dalam bbrp menit aja dah tau hasilnya  ",MAIN,11:22:40 AM,Tuesday April 13 2021
200,201,Benevelen,"Bbri serok hari ini apa besok ya ntar beli sekarang turun lagi bsk (jual sekitar 3bulan)
",BBRI,11:16:47 AM,Tuesday April 13 2021
201,202,hery,"Membalas : BD nya lagi main binomo wkwkw
   ",MAIN,11:14:24 AM,Tuesday April 13 2021
202,203,Nanang Eko,"Membalas : BD nya lagi main binomo wkwkw
Nah ktauan kn koh Billy maennya sma bd, jd tau kegiatan bd skrng ",MAIN,11:04:29 AM,Tuesday April 13 2021
203,204,Billy,"Membalas : Koh billy coba kontak bd nya   
BD nya lagi main binomo wkwkw",MAIN,11:01:52 AM,Tuesday April 13 2021
204,205,Tio,"#SAME
Ini adalah foto",SAME,11:00:50 AM,Tuesday April 13 2021
205,206,Jee Satya,"Index mulai stressing, running fast trade dimulai...tanda2nya... ",FAST,11:00:48 AM,Tuesday April 13 2021
206,207,AAN,"Cuan SAME SAME


Take profit? Moh ah

1.000 harga mati wkwkw",SAME,10:58:04 AM,Tuesday April 13 2021
207,208,Ninonino:ambulance::ambulance:,"Terima kasih
Same same
Ini adalah foto",SAME,10:58:03 AM,Tuesday April 13 2021
208,209,Dream Big,SAME ATH,SAME,10:57:29 AM,Tuesday April 13 2021
209,210,Ardiyan Bagas,Mlpl dah gada bid,MLPL,10:55:57 AM,Tuesday April 13 2021
210,211,Jansen Wang,Same go2,SAME,10:55:41 AM,Tuesday April 13 2021
211,212,Mic,Same joss,SAME,10:54:03 AM,Tuesday April 13 2021
212,213,qodri,"baca buku market wizard jack schwager pak, d situ kita bnyk belajar dr trader2 terdahulu, attitude yg bener d stock market, bnr2 bnyk pencerahan pak, jd g melulu belajar metode, yakinlah dg attitude( mindset ) yg bener lbh cepat kita mencapai level ""konsisten""",BACA,10:53:29 AM,Tuesday April 13 2021
213,214,Joni Aritonang,"Membalas : Crypto juga turnover ga tinggi2 banget utk masuknya scalper2 indo... Even better skrang pindah saja ke crypto karena bpjs ga in
indodax itu resmi gak ya.",INDO,10:50:05 AM,Tuesday April 13 2021
214,215,Fajar Suryo,"Membalas : investasi jangka panjang yg beli di bulan september hold sampe skrng apa kabr ya?
aman",AMAN,10:49:16 AM,Tuesday April 13 2021
215,216,Rakhmad Nirmawan Nofendi,"Membalas : Mantul pak, ihsg manut sma trendline
Aamiinn mudah""an y, bond yield Indo yg tenor 10 tahun ud uda patah trend upnya jg si",INDO,10:48:56 AM,Tuesday April 13 2021
216,217,Neo Cortex,"""Beli saham tuh big cap yg fundamental nya jelas kek BBCA, UNVR . Jung beli saham gorengan kek BANK , ARTO"" - Mbah Kakung","BANK,BBCA,UNVR",10:44:53 AM,Tuesday April 13 2021
217,218,Billy,"Membalas : Apakah BPJS berniat untuk masuk ke Krypto juga?
Bpjs risk profilenya jadi super aggresive kalo main koin2 nan",MAIN,10:43:12 AM,Tuesday April 13 2021
218,219,Jafar Sim,Same ada yg lagi curi makan,SAME,10:42:05 AM,Tuesday April 13 2021
219,220,Jonathan,"Membalas : boleh aja pak uang bapak hehe..
yaudah saya lihat nya dari sesi fa saja banyak yang sudah diskon kalau nunggu chart nya bagus berarti nunggu harga naik dulu ya ",UANG,10:41:49 AM,Tuesday April 13 2021
220,221,Tommy Hermes,"Membalas : Crypto juga turnover ga tinggi2 banget utk masuknya scalper2 indo... Even better skrang pindah saja ke crypto karena bpjs ga in
Apakah BPJS berniat untuk masuk ke Krypto juga?",INDO,10:41:48 AM,Tuesday April 13 2021
221,222,Kirana L,"Crypto juga turnover ga tinggi2 banget utk masuknya scalper2 indo... 
Even better skrang pindah saja ke crypto karena bpjs ga invest ksana jadi lebih baik lah drpda harus ""simpan"" dana do ihsg tanpa bunga

Fundamental juga patokannya garis2 yang merupakan ""kesepakatan"" bersama dari nama bentuk pola dll, jadi para fundamental inilah yang bawa duit gedek pindah ke the real fundamental analys market   yaitu main koin koinan","INDO,KOIN,MAIN,POLA,REAL",10:41:14 AM,Tuesday April 13 2021
222,223,qodri,"boleh aja pak uang bapak hehe..
Membalas : Makanan bandar ya ritel terutama angkatan corona, empuk dan banyak banget, kalau para fundamentalist sih bo kang tau
jgn trll pede pak hehe..

gini aja.. cb g usa liat chart 3 hari, abis itu lihat lg, baru kelihatan jelas dan jernih pikiran hehe",UANG,10:39:20 AM,Tuesday April 13 2021
223,224,Dream Big,"Membalas : Ihsg di persimpangan jalan, bandar mau kasih diskon lagi ga ya? katanya uang bandar ga berseri, ritel uda pada malas tuh,
kalo dihajar terus ihsg, retail pasti pindah ke crypto",UANG,10:38:00 AM,Tuesday April 13 2021
224,225,Jafar Sim,"Membalas : Klo saham diangkat baru mrk jual siapa lagi yg beli, sebagian retail sdh terlanjur lari ke crypto. Mending dibanting aja spy bis
Ihsg di persimpangan jalan, bandar mau kasih diskon lagi ga ya?     katanya uang bandar ga berseri, ritel uda pada malas tuh, banyak yg pindah ke crypto, paling nanti yg buy para trader paham fundamental aja, big sale ramadhan     ",UANG,10:36:53 AM,Tuesday April 13 2021
225,226,Dream Big,BANK naik terus,BANK,10:33:48 AM,Tuesday April 13 2021
