,Data,User,Pesan,Saham,Jam,Tanggal
42,43,GumBall,Sales FREN nya mana doongg ko ga ada,FREN,5:47:56 PM,Saturday April 17 2021
43,44,RBTAN59,"Membalas : Mungkin sambil jln itu hitung kita2
spt cent cenglie nya kan di 400   ",CENT,5:46:43 PM,Saturday April 17 2021
44,45,Poniman,"Harusnya mendaki trus, sudah tidak ada kata turun  ",TRUS,5:41:27 PM,Saturday April 17 2021
45,46,RBTAN59,"Membalas : Saya nongkrong FREN di 91 dikasih ga?
sdh di ganjel balok gede kan Pak wkt jumat di km 95 ",FREN,5:40:05 PM,Saturday April 17 2021
46,47,GumBall,Saya nongkrong FREN di 91 dikasih ga?,FREN,5:39:01 PM,Saturday April 17 2021
47,48,Aho Lie,Kemungkinan emiten fren nguber plg gak harga tebus seblm tgl 28   ,FREN,5:31:22 PM,Saturday April 17 2021
48,49,RBTAN59,"     
Membalas : Mudah2an, masa turnover tiap hari ratusan M ngak naik    
sesimple ini yah Pak cara pikir nya gak perlu ta / bandarmologi sekali pun ",MASA,5:28:06 PM,Saturday April 17 2021
49,50,Poniman,"Mudah2an, masa turnover tiap hari ratusan M ngak naik    ",MASA,5:27:54 PM,Saturday April 17 2021
50,51,Poniman,"Membalas : Photo
Turnover fren hari jumat kemarin gede banget rp 312 milyar",FREN,5:23:47 PM,Saturday April 17 2021
51,52,Bhagas,"Membalas : Wah FREN tembus 100 nih hari Senin karena influencer
   ",FREN,5:12:11 PM,Saturday April 17 2021
52,53,Satimin Sejati,"Membalas : Photo
Investor FREN nyimak",FREN,5:06:16 PM,Saturday April 17 2021
53,54,Maimunah,"Membalas : amin fren...min diatas 120...  
Fren dkk udh case close, skrg hunting.....lagi","AMIN,FREN",5:03:32 PM,Saturday April 17 2021
54,55,Novine 90210,"Membalas : Sumon para pencari belahan hati.. Mumpung ada cici nya   @luckv02 @ahauw
maap statusnya sama kaya cicinya 

kalo mau endorse produk 
boleh langsung pm aja ig nya

or pm sy gpp kalo butuh no contact lsg...  
Membalas : Kalau udh rame gini byk group Senin ngacir
amin fren...min diatas 120...  ","AMIN,FREN",5:00:49 PM,Saturday April 17 2021
55,56,Maimunah,"Membalas : Fren naiknya santai pelan pelan aja, kalo ngebut butuh tenaga  
 Atur aj turun jg ngak apa
Line 2 /3 buat copet harian, dan blue chip long term ya 2027
Kenapa 2027? Pilpres diitung
Siklus reset ekonomi memasuki fase final","BLUE,FREN",4:52:06 PM,Saturday April 17 2021
56,57,Dream Big,"Fren naiknya santai pelan pelan aja, kalo ngebut butuh tenaga  ",FREN,4:51:25 PM,Saturday April 17 2021
57,58,Maimunah,"Membalas : akan kah senin fren turn over nya jd 500bkita tunggu /saksikan 
 ",FREN,4:50:07 PM,Saturday April 17 2021
58,59,RBTAN59,akan kah senin fren turn over nya jd 500bkita tunggu /saksikan   ,FREN,4:49:50 PM,Saturday April 17 2021
59,60,Maimunah,"Yg ambil fren 76 SD 92 udh nonton yg baru mau ikut msk
Membalas :  
Btc sy diera 10jt, eh jd ... Makasih pada btcier baru termsk om elon ",FREN,4:45:24 PM,Saturday April 17 2021
60,61,RBTAN59,"Membalas :   tiru Lippo dll biar ngacir masa kalah sama bank
  ","BANK,MASA",4:35:49 PM,Saturday April 17 2021
61,62,Maimunah,"Membalas : bisa aja terjadi... skrg sdg trend akuisisi emiten... wong yg mau ipo aja antri krn salah satu cara utk bisa masuk urutan di for
  tiru Lippo dll biar ngacir masa kalah sama bank","BANK,MASA,SATU",4:33:42 PM,Saturday April 17 2021
